fruit_label,fruit_name,fruit_subtype,mass,width,height,color_score
3,orange,valencia,162.0,7.1,8.3,0.71
23,grapefruit,unknown,416.0,10.3,12.0,0.82
24,durian,unknown,1959.0,17.9,26.1,0.67
26,lychee,unknown,23.0,3.6,4.2,0.9
3,orange,valencia,194.0,6.6,7.9,0.71
9,pomegranate,unknown,261.0,9.4,9.6,0.49
6,peach,unknown,128.0,7.4,6.8,0.81
8,banana,unknown,140.0,3.5,15.1,0.89
12,grape,unknown,8.0,2.0,2.3,0.61
20,guava,unknown,162.0,7.2,7.9,0.53
11,strawberry,unknown,23.0,2.7,4.3,0.86
23,grapefruit,unknown,368.0,12.2,10.6,0.7
4,lemon,meyer,144.0,6.4,8.2,0.69
16,cherry,unknown,8.0,2.4,2.0,1.0
15,kiwi,unknown,75.0,4.8,6.6,0.66
15,kiwi,unknown,81.0,5.1,6.7,0.68
29,passion_fruit,unknown,45.0,5.4,5.7,0.67
15,kiwi,unknown,57.0,5.4,6.7,0.63
27,starfruit,unknown,93.0,5.9,11.3,0.74
15,kiwi,unknown,72.0,5.4,5.7,0.67
18,papaya,unknown,499.0,9.3,22.0,0.78
4,lemon,meyer,133.0,5.6,9.3,0.62
9,pomegranate,unknown,350.0,10.1,9.8,0.63
9,pomegranate,unknown,281.0,7.9,7.1,0.56
10,tomato,unknown,97.0,5.9,5.1,0.69
23,grapefruit,unknown,392.0,11.5,10.2,0.71
16,cherry,unknown,9.0,2.3,2.3,0.89
4,lemon,meyer,109.0,6.7,8.7,0.64
22,lime,unknown,71.0,4.0,5.5,0.5
6,peach,unknown,156.0,7.8,7.4,0.8
28,persimmon,unknown,179.0,7.0,6.8,0.83
30,apricot,unknown,53.0,3.3,4.2,0.82
22,lime,unknown,67.0,5.4,5.1,0.5
7,mango,unknown,276.0,8.1,13.3,0.92
22,lime,unknown,59.0,4.7,4.8,0.53
21,plum,unknown,57.0,4.9,5.3,0.68
28,persimmon,unknown,163.0,7.5,5.5,0.83
11,strawberry,unknown,22.0,2.6,4.3,0.91
23,grapefruit,unknown,359.0,12.6,12.0,0.7
13,watermelon,unknown,2834.0,23.2,27.1,0.61
4,lemon,meyer,139.0,6.3,7.7,0.71
8,banana,unknown,89.0,3.1,16.6,0.87
25,coconut,unknown,1652.0,16.1,19.8,0.6
20,guava,unknown,130.0,6.6,6.7,0.59
6,peach,unknown,165.0,6.8,6.6,0.82
15,kiwi,unknown,73.0,5.6,6.6,0.66
9,pomegranate,unknown,227.0,10.0,10.6,0.54
